vessel_name,call_sign,imo_number,hull_number,position,role,username,email,password
OLYMPIC FRIENDSHIP,V7SP5,9745251,S 50,Chief Engineer,vessel,olympic_friendship_chiefengineer,olympic_friendship_chiefengineer@csvtest.local,V7SP5
OLYMPIC FIGHTER,V7QK3,9745263,S 51,Master,vessel,olympic_fighter_master,olympic_fighter_master@csvtest.local,V7QK3
OLYMPIC FIGHTER,V7QK3,9745263,S 51,Chief Officer,vessel,olympic_fighter_chiefofficer,olympic_fighter_chiefofficer@csvtest.local,V7QK3
OLYMPIC FIGHTER,V7QK3,9745263,S 51,Chief Engineer,vessel,olympic_fighter_chiefengineer,olympic_fighter_chiefengineer@csvtest.local,V7QK3
OLYMPIC FUTURE,SYQH,9271353,S 19,Master,vessel,olympic_future_master,olympic_future_master@csvtest.local,SYQH
OLYMPIC FUTURE,SYQH,9271353,S 19,Chief Officer,vessel,olympic_future_chiefofficer,olympic_future_chiefofficer@csvtest.local,SYQH
OLYMPIC FUTURE,SYQH,9271353,S 19,Chief Engineer,vessel,olympic_future_chiefengineer,olympic_future_chiefengineer@csvtest.local,SYQH
OLYMPIC FLAG,SWDF,9271341,S 20,Master,vessel,olympic_flag_master,olympic_flag_master@csvtest.local,SWDF
OLYMPIC FLAG,SWDF,9271341,S 20,Chief Officer,vessel,olympic_flag_chiefofficer,olympic_flag_chiefofficer@csvtest.local,SWDF
OLYMPIC FLAG,SWDF,9271341,S 20,Chief Engineer,vessel,olympic_flag_chiefengineer,olympic_flag_chiefengineer@csvtest.local,SWDF
OLYMPIC LAUREL,V7A2037,9831804,S 52,Master,vessel,olympic_laurel_master,olympic_laurel_master@csvtest.local,V7A2037
OLYMPIC LAUREL,V7A2037,9831804,S 52,Chief Officer,vessel,olympic_laurel_chiefofficer,olympic_laurel_chiefofficer@csvtest.local,V7A2037
OLYMPIC LAUREL,V7A2037,9831804,S 52,Chief Engineer,vessel,olympic_laurel_chiefengineer,olympic_laurel_chiefengineer@csvtest.local,V7A2037
OLYMPIC LYRA,V7A2038,9831816,S 53,Master,vessel,olympic_lyra_master,olympic_lyra_master@csvtest.local,V7A2038
OLYMPIC LYRA,V7A2038,9831816,S 53,Chief Officer,vessel,olympic_lyra_chiefofficer,olympic_lyra_chiefofficer@csvtest.local,V7A2038
OLYMPIC LYRA,V7A2038,9831816,S 53,Chief Engineer,vessel,olympic_lyra_chiefengineer,olympic_lyra_chiefengineer@csvtest.local,V7A2038
OLYMPIC LIFE,V7A2092,9844277,S 54,Master,vessel,olympic_life_master,olympic_life_master@csvtest.local,V7A2092
OLYMPIC LIFE,V7A2092,9844277,S 54,Chief Officer,vessel,olympic_life_chiefofficer,olympic_life_chiefofficer@csvtest.local,V7A2092
OLYMPIC LIFE,V7A2092,9844277,S 54,Chief Engineer,vessel,olympic_life_chiefengineer,olympic_life_chiefengineer@csvtest.local,V7A2092
OLYMPIC OLYMPIC,XXX999,,S82,Master,vessel,olympic_olympic_master,olympic_olympic_master@csvtest.local,XXX999
OLYMPIC OLYMPIC,XXX999,,S82,Chief Officer,vessel,olympic_olympic_chiefofficer,olympic_olympic_chiefofficer@csvtest.local,XXX999
OLYMPIC OLYMPIC,XXX999,,S82,Chief Engineer,vessel,olympic_olympic_chiefengineer,olympic_olympic_chiefengineer@csvtest.local,XXX999
